Links,Imagenes,,Temporada,Color,Estilo,Estampado,Escote,Longitud_manga,Corte,Material,Precio,Ventas
https://www.shein.com.mx/Broken-Flower-Printed-Short-Sleeve-Women-s-Dress-Fashionable-Retro-Elegant-Dress-With-Elastic-High-Waist-p-29755619.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=2&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/01/30/38/170659382769b8155795ee0ec93afb584c2ed9f02b_thumbnail_405x552.jpg,,Otoño,Blanco,Vintage,Floral,V,Manga corta,A línea,Tela tricotada,$131.00,10
https://www.shein.com.mx/SHEIN-Slayr-Women-s-Off-shoulder-Pleated-Bodycon-Dress-p-26624002.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/11/10/5f/1699618197e5bf7cbce13f6e18eaca55b1bf3e33ff_thumbnail_405x552.jpg,,Invierno,Rojo,Sexy,Liso,Corazon,Manga corta,Ajustado,Viscosa,$181.72,13
https://www.shein.com.mx/SHEIN-VCAY-Solid-Shirred-Detail-Ruffle-Hem-Dress-p-6190852.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2021/12/04/16386056671ae7663495635a4a622e471bcfe8209e_thumbnail_405x552.jpg,,Otoño,Blanco,Bohemio,Liso,Recto,Sin mangas,A línea,Poliamida,$389.09,80
https://www.shein.com.mx/Slanted-Shoulder-Dress-Temperament-Sleeveless-Sexy-Open-Long-Dress-Women-p-29306639.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=2&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/01/18/13/1705545453d150a7364c4dd28899e8baa4d44e8119_thumbnail_405x552.jpg,,Verano,Rosa,Vintage,Generico,Asimetrico,Manga larga,A línea,Tela tricotada,$195.00,20
https://www.shein.com.mx/SHEIN-Frenchy-Ditsy-Floral-Puff-Sleeve-Belted-Dress-p-2102252.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2021/01/29/1611887253946ec8fd678ecb5002042186ae87373e_thumbnail_405x552.jpg,,Primavera,Verde,Bohemio,Floral,V,Francesa,A línea,Algodón,$262.57,800
https://www.shein.com.mx/EMERY-ROSE-Women-s-Plant-Printed-Patchwork-Sleeveless-Dress-p-26889311.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/11/27/84/17010822741c6864b700ccdcd8229466319ba073bd_thumbnail_405x552.jpg,,Otoño,Multicolor,Casual,Floral,Redondo,Sin mangas,Ajustado,Tela tricotada,$183.00,200
https://www.shein.com.mx/SHEIN-VCAY-Summer-Boho-Solid-Hollow-Out-Black-Tank-Dress-p-20591366.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/07/31/169079055608870fa41370e2215147674ca31cfdd1_thumbnail_405x552.jpg,,Primavera,Negro,Bohemio,Liso,V,Sin mangas,Ajustado,Viscosa,$216.08,100
https://www.shein.com.mx/SHEIN-VCAY-Tropical-Print-Batwing-Sleeve-Ruffle-Hem-Smock-Dress-p-18595265.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/06/29/1688026143a59322ce45f4a37f7b6e60c1f42fc2e6_thumbnail_405x552.jpg,,Otoño,Verde,Bohemio,Floral,V,Manga corta,Holgado,Poliamida,$221.92,10
https://www.shein.com.mx/SHEIN-Frenchy-Polka-Dot-Knot-Side-Wrap-A-line-Dress-p-2123842.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2021/01/20/1611139624c8880d483766a3b6ca055785787ed4e4_thumbnail_405x552.jpg,,Otoño,Rojo,Bohemio,Geometrico,V,Manga corta,A línea,Algodón,$217.91,300
https://www.shein.com.mx/SHEIN-Qutie-Allover-Cherry-Sweetheart-Neck-Dress-p-2329783.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2021/04/15/1618458185973664c20d4b4bf34a94da6840d667dd_thumbnail_405x552.jpg,,Verano,Negro,Casual,Floral,Corazon,Manga corta,A línea,Poliuretano,$200.75,1000
